"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","78","74","72","72","79","73"
"Level 4 And Above","87","85","82","88","87","81"
"Level 3","82","75","75","75","82","73"
"Level 2","73","57","63","54","74","60"
"Below Level 2","68","63","61","45","69","?"
"Other Qualifications","74","67","66","?","76","67"
"No Qualifications","44","42","39","?","45","52"
