"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","74","64","68","71","76","66"
"Level 4 And Above","84","78","77","86","85","74"
"Level 3","78","68","69","?","79","?"
"Level 2","68","45","59","?","69","?"
"Below Level 2","61","45","?","?","62","?"
"Other Qualifications","65","50","62","?","70","55"
"No Qualifications","36","27","?","?","38","?"
