"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","82","84","78","73","82","81"
"Level 4 And Above","90","91","89","91","89","89"
"Level 3","85","82","?","?","85","?"
"Level 2","77","69","?","?","78","?"
"Below Level 2","74","79","?","?","75","?"
"Other Qualifications","81","87","?","?","80","77"
"No Qualifications","51","60","?","?","51","?"
