"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Black","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Black","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","All","All","9.6","%","1.9","49000","509500","2365"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","All","All","90.3","%","1.9","460100","509500","2365"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","All","Men","9.6","%","2.6","26900","281300","1256"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","All","Men","90.4","%","2.6","254300","281300","1256"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","All","Women","9.7","%","2.8","22100","228200","1109"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","All","Women","90.2","%","2.8","205800","228200","1109"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East Midlands","All","10","%","5.2","5400","54100","321"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East Midlands","All","90","%","5.2","48700","54100","321"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East Midlands","Men","10.6","%","7.3","3100","29200","172"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East Midlands","Men","89.4","%","7.3","26100","29200","172"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East Midlands","Women","9.4","%","7.4","2300","24900","149"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East Midlands","Women","90.6","%","7.4","22600","24900","149"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East of England","All","10.2","%","8.3","3100","30200","129"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East of England","All","89.8","%","8.3","27100","30200","129"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","London","All","6.4","%","3","13100","204900","651"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","London","All","93.6","%","3","191800","204900","651"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","London","Men","6.5","%","4.2","7200","111000","333"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","London","Men","93.5","%","4.2","103800","111000","333"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","London","Women","6.2","%","4.2","5900","93900","318"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","London","Women","93.8","%","4.2","88100","93900","318"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North West","All","15.4","%","7.6","5300","34200","215"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North West","All","83.8","%","7.8","28700","34200","215"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North West","Men","13.8","%","9.8","2700","19700","120"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North West","Men","86.2","%","9.8","17000","19700","120"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South East","All","11.3","%","5.3","5800","51400","346"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South East","All","88.7","%","5.3","45600","51400","346"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South East","Men","10.1","%","7.1","2700","26800","174"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South East","Men","89.9","%","7.1","24100","26800","174"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South East","Women","12.7","%","7.9","3100","24600","172"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South East","Women","87.3","%","7.9","21500","24600","172"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","West Midlands","All","7","%","4","5600","80900","390"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","West Midlands","All","92.8","%","4","75100","80900","390"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","West Midlands","Men","7.1","%","5.5","3300","47000","211"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","West Midlands","Men","92.6","%","5.6","43500","47000","211"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","West Midlands","Women","6.9","%","5.8","2300","33900","179"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","West Midlands","Women","93.1","%","5.8","31600","33900","179"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Yorkshire and The Humber","All","18.1","%","11.9","4400","24400","100"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Yorkshire and The Humber","All","81.9","%","11.9","20000","24400","100"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Indian","Detailed","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Indian","Detailed","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","All","All","7","%","2.9","11400","163800","751"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","All","All","92.5","%","3","151400","163800","751"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","All","Men","7.9","%","4.5","6100","77800","342"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","All","Men","91.5","%","4.7","71200","77800","342"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","All","Women","6.2","%","3.7","5300","86000","409"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","All","Women","93.3","%","3.8","80200","86000","409"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East of England","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East of England","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","London","All","4","%","4.4","2300","57000","190"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","London","All","94.4","%","5.2","53800","57000","190"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","London","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","London","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","London","Women","4.2","%","5.9","1300","30900","111"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","London","Women","94.3","%","6.8","29200","30900","111"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South East","All","7.3","%","7.3","1700","24000","122"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South East","All","92.7","%","7.3","22200","24000","122"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Mixed","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","All","All","11.3","%","2.7","33400","296800","1315"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","All","All","88.6","%","2.7","263000","296800","1315"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","All","Men","11.4","%","3.6","19700","172500","739"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","All","Men","88.4","%","3.6","152500","172500","739"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","All","Women","11.1","%","4","13800","124300","576"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","All","Women","88.9","%","4","110500","124300","576"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East of England","All","14.3","%","10.5","3800","26700","107"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East of England","All","85.7","%","10.5","22900","26700","107"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East of England","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","East of England","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","London","All","10.9","%","4.3","15200","140200","495"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","London","All","89.1","%","4.3","125000","140200","495"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","London","Men","11.5","%","6.1","9100","79000","261"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","London","Men","88.5","%","6.1","70000","79000","261"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","London","Women","10.1","%","6.1","6200","61200","234"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","London","Women","89.9","%","6.1","55000","61200","234"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North East","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North West","All","7.1","%","7.6","1400","20400","108"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North West","All","92.9","%","7.6","19000","20400","108"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","North West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Scotland","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South East","All","8.1","%","6.7","2300","28700","159"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South East","All","91.9","%","6.7","26400","28700","159"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South West","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Wales","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","West Midlands","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","West Midlands","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","West Midlands","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","All","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Other","ONS 2011 5+1","2006","Year","Yorkshire and The Humber","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","All","All","9.1","%","0.9","182700","2013300","8958"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","All","All","90.7","%","0.9","1826600","2013300","8958"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","All","Men","9.2","%","1.3","100400","1095100","4694"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","All","Men","90.6","%","1.3","992700","1095100","4694"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","All","Women","9","%","1.4","82300","918200","4264"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","All","Women","90.8","%","1.4","833900","918200","4264"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East Midlands","All","10.1","%","3.7","11800","116300","638"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East Midlands","All","89.7","%","3.7","104400","116300","638"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East Midlands","Men","11","%","5.2","6900","62800","340"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East Midlands","Men","89","%","5.2","55900","62800","340"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East Midlands","Women","9.1","%","5.2","4900","53500","298"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East Midlands","Women","90.5","%","5.3","48400","53500","298"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East of England","All","9.9","%","3.6","14100","142500","661"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East of England","All","89.8","%","3.7","127900","142500","661"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East of England","Men","9.7","%","4.8","7500","77200","358"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East of England","Men","89.7","%","5","69300","77200","358"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","East of England","Women","10.2","%","5.4","6600","65300","303"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","East of England","Women","89.8","%","5.4","58600","65300","303"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","London","All","7.9","%","1.5","70500","897600","3020"
"Permanent and temporary employment","Permanent","Other than White","White and other","2006","Year","London","All","92","%","1.5","825600","897600","3020"
"Permanent and temporary employment","Temporary","Other than White","White and other","2006","Year","London","Men","8","%","2.2","38100","473900","1503"
