"Measure_Type","Employment_type","Ethnicity","Ethnicity_Type","Time","Time_Type","Region","Sex","Value","Value_type","confidence_interval","Numerator","Denominator","Samp_size"
"Permanent and temporary employment","Temporary","All","All","2004","Year","South West","Men","5.2","%","0.6","53600","1028600","5510"
"Permanent and temporary employment","Permanent","All","All","2004","Year","South West","Men","94.7","%","0.6","974600","1028600","5510"
"Permanent and temporary employment","Temporary","All","All","2004","Year","South West","Women","6","%","0.6","60100","996600","5708"
"Permanent and temporary employment","Permanent","All","All","2004","Year","South West","Women","93.9","%","0.6","935500","996600","5708"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Wales","All","6.7","%","0.4","75300","1121700","16580"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Wales","All","93.3","%","0.4","1046000","1121700","16580"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Wales","Men","5.6","%","0.5","31600","568900","7951"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Wales","Men","94.4","%","0.5","537200","568900","7951"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Wales","Women","7.9","%","0.6","43700","552800","8629"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Wales","Women","92.1","%","0.6","508800","552800","8629"
"Permanent and temporary employment","Temporary","All","All","2004","Year","West Midlands","All","5.2","%","0.4","112500","2149500","10993"
"Permanent and temporary employment","Permanent","All","All","2004","Year","West Midlands","All","94.7","%","0.4","2036300","2149500","10993"
"Permanent and temporary employment","Temporary","All","All","2004","Year","West Midlands","Men","4.7","%","0.6","52300","1120600","5496"
"Permanent and temporary employment","Permanent","All","All","2004","Year","West Midlands","Men","95.3","%","0.6","1068300","1120600","5496"
"Permanent and temporary employment","Temporary","All","All","2004","Year","West Midlands","Women","5.9","%","0.6","60300","1028900","5497"
"Permanent and temporary employment","Permanent","All","All","2004","Year","West Midlands","Women","94.1","%","0.6","968000","1028900","5497"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Yorkshire and The Humber","All","6.1","%","0.4","126900","2064800","11858"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Yorkshire and The Humber","All","93.8","%","0.4","1936900","2064800","11858"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Yorkshire and The Humber","Men","5.5","%","0.6","58000","1055900","5891"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Yorkshire and The Humber","Men","94.5","%","0.6","997500","1055900","5891"
"Permanent and temporary employment","Temporary","All","All","2004","Year","Yorkshire and The Humber","Women","6.8","%","0.6","68900","1008900","5967"
"Permanent and temporary employment","Permanent","All","All","2004","Year","Yorkshire and The Humber","Women","93.1","%","0.6","939400","1008900","5967"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","All","All","8.5","%","1.3","78100","922100","4443"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","All","All","91.4","%","1.3","843100","922100","4443"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","All","Men","8.2","%","1.7","44400","538000","2481"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","All","Men","91.7","%","1.7","493200","538000","2481"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","All","Women","8.8","%","2","33800","384100","1962"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","All","Women","91.1","%","2","349900","384100","1962"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East Midlands","All","7.2","%","4","5300","73400","394"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East Midlands","All","92.8","%","4","68100","73400","394"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East Midlands","Men","7.2","%","5.4","3000","41600","221"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East Midlands","Men","92.8","%","5.4","38500","41600","221"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East Midlands","Women","7.3","%","6.1","2300","31800","173"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East Midlands","Women","92.7","%","6.1","29500","31800","173"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East of England","All","8.6","%","5.3","4400","51500","265"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East of England","All","91.4","%","5.3","47000","51500","265"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East of England","Men","9.2","%","7.1","2800","30000","161"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East of England","Men","90.8","%","7.1","27300","30000","161"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","East of England","Women","7.7","%","8.1","1700","21400","104"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","East of England","Women","92.3","%","8.1","19800","21400","104"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","London","All","7.2","%","2.2","27000","374100","1337"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","London","All","92.7","%","2.2","346700","374100","1337"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","London","Men","8.2","%","3.1","17800","217900","734"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","London","Men","91.7","%","3.2","199800","217900","734"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","London","Women","5.9","%","3","9200","156100","603"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","London","Women","94.1","%","3","146900","156100","603"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North East","All","10","%","8.4","1300","13000","121"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North East","All","90","%","8.4","11700","13000","121"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North East","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North East","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North West","All","8.9","%","4.2","6200","69800","439"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North West","All","91.1","%","4.2","63600","69800","439"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North West","Men","7.1","%","4.8","3200","44200","275"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North West","Men","92.9","%","4.8","41100","44200","275"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","North West","Women","12","%","7.8","3100","25600","164"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","North West","Women","88","%","7.8","22500","25600","164"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Scotland","All","19.4","%","10","4400","22900","151"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Scotland","All","80.6","%","10","18400","22900","151"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Scotland","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Scotland","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South East","All","7.7","%","3.2","7900","102400","648"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South East","All","92.1","%","3.3","94400","102400","648"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South East","Men","6.1","%","4.1","3200","53200","322"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South East","Men","93.9","%","4.1","50000","53200","322"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South East","Women","9.5","%","5","4700","49200","326"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South East","Women","90.2","%","5.1","44400","49200","326"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South West","All","7.5","%","7.3","1600","21700","125"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South West","All","92.5","%","7.3","20100","21700","125"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South West","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","South West","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Wales","All","13","%","10.2","1200","9300","105"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Wales","All","87","%","10.2","8100","9300","105"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Wales","Men","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Wales","Women","?","%","?","?","?","?"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","West Midlands","All","8.9","%","3.7","10400","116500","558"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","West Midlands","All","90.8","%","3.8","105800","116500","558"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","West Midlands","Men","9.4","%","5.2","6300","67100","306"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","West Midlands","Men","90.6","%","5.2","60800","67100","306"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","West Midlands","Women","8.4","%","5.4","4100","49400","252"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","West Midlands","Women","91.1","%","5.6","45000","49400","252"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","All","12.3","%","5.9","8300","67500","300"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","All","87.7","%","5.9","59200","67500","300"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Men","8.9","%","6.3","4000","45300","194"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Men","91.1","%","6.3","41300","45300","194"
"Permanent and temporary employment","Temporary","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Women","19.3","%","11.9","4300","22200","106"
"Permanent and temporary employment","Permanent","Asian","ONS 2011 5+1","2004","Year","Yorkshire and The Humber","Women","80.7","%","11.9","17900","22200","106"
