"","All","","Other Ethnic Groups","","White",""
"Age","%","Number of people unemployed","%","Number of people unemployed","%","Number of people unemployed"
"16-24","13","490,000","22","123,900","11","366,000"
"25-49","3","619,000","6","180,900","3","436,900"
"50-64","3","316,700","6","53,200","3","263,500"
"65+","2","24,500","6","4,500","2","20,000"
"All","4","1,450,200","8","362,400","4","1,086,500"
