"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Pakistani","ONS 2011 18+1","England","74.7","%","13689.7","10230.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Pakistani","ONS 2011 18+1","England","77","%","14714.2","11334.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Any Other Asian Background","ONS 2011 18+1","England","79.7","%","15434.3","12307.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Any Other Asian Background","ONS 2011 18+1","England","77.7","%","11959.2","9286.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Any Other Asian Background","ONS 2011 18+1","England","79.2","%","12184.7","9648.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Any Other Asian Background","ONS 2011 18+1","England","79.5","%","11654.1","9265.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any Other Asian Background","ONS 2011 18+1","England","80.2","%","12725.7","10205.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any Other Asian Background","ONS 2011 18+1","England","80.7","%","12315.9","9941.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Any Other Asian Background","ONS 2011 18+1","England","78.4","%","11613.5","9109.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Any Other Asian Background","ONS 2011 18+1","England","80.4","%","11218.6","9016.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Any Other Asian Background","ONS 2011 18+1","England","80.5","%","12378.6","9969.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Any Other Asian Background","ONS 2011 18+1","England","82.9","%","13928.8","11553.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Black African","ONS 2011 18+1","England","86.2","%","17122","14766","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Black African","ONS 2011 18+1","England","85.5","%","14621.9","12495.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Black African","ONS 2011 18+1","England","86.9","%","15626.9","13579.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Black African","ONS 2011 18+1","England","86.3","%","14925.6","12877.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Black African","ONS 2011 18+1","England","87.7","%","12652.8","11097.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Black African","ONS 2011 18+1","England","87.5","%","13132.5","11491.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Black African","ONS 2011 18+1","England","87.1","%","12715.3","11070.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Black African","ONS 2011 18+1","England","88","%","12495.7","10995.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Black African","ONS 2011 18+1","England","88.4","%","13824.4","12216.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Black African","ONS 2011 18+1","England","89.9","%","14429.7","12972.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Black Caribbean","ONS 2011 18+1","England","83.7","%","6418.3","5374.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Black Caribbean","ONS 2011 18+1","England","82.4","%","6207.1","5112.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Black Caribbean","ONS 2011 18+1","England","84.6","%","6934.5","5868.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Black Caribbean","ONS 2011 18+1","England","84.8","%","6716.9","5696.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Black Caribbean","ONS 2011 18+1","England","84.5","%","6100.5","5153.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Black Caribbean","ONS 2011 18+1","England","84.9","%","5948.4","5051.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Black Caribbean","ONS 2011 18+1","England","84.6","%","6133.5","5191.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Black Caribbean","ONS 2011 18+1","England","85.4","%","6404.4","5466.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Black Caribbean","ONS 2011 18+1","England","85.7","%","7119.5","6102.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Black Caribbean","ONS 2011 18+1","England","88","%","7875.5","6929.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Any Other Black Background","ONS 2011 18+1","England","83.1","%","4940.5","4106.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Any Other Black Background","ONS 2011 18+1","England","79.6","%","1883.8","1500","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Any Other Black Background","ONS 2011 18+1","England","79.1","%","1877.5","1485.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Any Other Black Background","ONS 2011 18+1","England","82","%","1760.5","1444.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any Other Black Background","ONS 2011 18+1","England","87.1","%","3444.5","3001.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any Other Black Background","ONS 2011 18+1","England","86.7","%","3135.3","2716.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Any Other Black Background","ONS 2011 18+1","England","86.6","%","3043.3","2634.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Any Other Black Background","ONS 2011 18+1","England","87.4","%","3357.9","2935.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Any Other Black Background","ONS 2011 18+1","England","88.1","%","3711.3","3271.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Any Other Black Background","ONS 2011 18+1","England","88.5","%","4093.4","3620.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Chinese","ONS 2011 18+1","England","77.8","%","6856","5336.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Chinese","ONS 2011 18+1","England","74.5","%","5965.7","4444.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Chinese","ONS 2011 18+1","England","74.6","%","6255.3","4669.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Chinese","ONS 2011 18+1","England","75.2","%","6428.6","4831.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Chinese","ONS 2011 18+1","England","75.8","%","5755.3","4362","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Chinese","ONS 2011 18+1","England","77.9","%","5927.7","4619.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Chinese","ONS 2011 18+1","England","77","%","5560.6","4280.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Chinese","ONS 2011 18+1","England","77.9","%","5344.5","4161.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Chinese","ONS 2011 18+1","England","78","%","5875.5","4581.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Chinese","ONS 2011 18+1","England","77.4","%","6416.1","4963.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Mixed White And Asian","ONS 2011 18+1","England","78.7","%","4023.5","3164.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Mixed White And Asian","ONS 2011 18+1","England","78.8","%","3423.6","2699.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Mixed White And Asian","ONS 2011 18+1","England","77.9","%","3481.2","2713.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Mixed White And Asian","ONS 2011 18+1","England","79.2","%","2849.1","2255.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Mixed White And Asian","ONS 2011 18+1","England","80.7","%","2595.4","2093.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Mixed White And Asian","ONS 2011 18+1","England","80.8","%","2385.7","1926.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Mixed White And Asian","ONS 2011 18+1","England","78.4","%","2366.5","1855.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Mixed White And Asian","ONS 2011 18+1","England","81.6","%","2349.6","1917","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Mixed White And Asian","ONS 2011 18+1","England","81.1","%","2402.9","1949.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Mixed White And Asian","ONS 2011 18+1","England","81.4","%","2565.3","2088.8","NA","NA","No figures to report for upper and lower bounds"
