"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value Type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","88","%","757977.7","667161.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","English / Welsh / Scottish / Northern Irish / British","ONS 2011 18+1","England","89.5","%","807066.8","722526.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","White Irish","ONS 2011 18+1","England","85.8","%","7489.9","6429.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","White Irish","ONS 2011 18+1","England","86.5","%","5836.6","5045.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","White Irish","ONS 2011 18+1","England","86.9","%","6452","5606.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","White Irish","ONS 2011 18+1","England","88","%","6166.1","5426.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","White Irish","ONS 2011 18+1","England","88.8","%","6534.2","5802.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","White Irish","ONS 2011 18+1","England","88.8","%","6877.6","6105.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","White Irish","ONS 2011 18+1","England","88.1","%","6993.3","6157.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","White Irish","ONS 2011 18+1","England","89.3","%","7278.9","6503.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","White Irish","ONS 2011 18+1","England","88.7","%","7908.4","7016","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","White Irish","ONS 2011 18+1","England","90.8","%","8750.8","7947.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Any Other White Background","ONS 2011 18+1","England","76.3","%","56083.5","42788","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Any Other White Background","ONS 2011 18+1","England","74.7","%","49593.8","37031.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Any Other White Background","ONS 2011 18+1","England","75.7","%","50127.1","37943.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Any Other White Background","ONS 2011 18+1","England","76.4","%","48777.1","37274.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any Other White Background","ONS 2011 18+1","England","78.8","%","51735.1","40780.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any Other White Background","ONS 2011 18+1","England","79.5","%","50122.3","39869.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Any Other White Background","ONS 2011 18+1","England","79.2","%","47241.9","37424.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Any Other White Background","ONS 2011 18+1","England","80.4","%","46512.2","37379.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Any Other White Background","ONS 2011 18+1","England","81.2","%","49962","40552.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Any Other White Background","ONS 2011 18+1","England","82.4","%","49722.8","40977.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Arab","ONS 2011 18+1","England","78","%","3647","2844","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Arab","ONS 2011 18+1","England","75.9","%","2795.2","2121.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Arab","ONS 2011 18+1","England","79.6","%","2927.1","2329.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Arab","ONS 2011 18+1","England","77.2","%","2649.8","2045","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Arab","ONS 2011 18+1","England","79.1","%","2126.7","1682.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Arab","ONS 2011 18+1","England","83.4","%","1997","1665.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Arab","ONS 2011 18+1","England","78.1","%","1806.2","1410.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Arab","ONS 2011 18+1","England","80.2","%","1632.7","1309.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Arab","ONS 2011 18+1","England","80.9","%","1786.7","1446.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Arab","ONS 2011 18+1","England","83.9","%","2104.4","1765.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Any Other Ethnic Group","ONS 2011 18+1","England","78.8","%","14142.5","11144.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Any Other Ethnic Group","ONS 2011 18+1","England","78.1","%","12090.6","9447.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Any Other Ethnic Group","ONS 2011 18+1","England","79.2","%","12957.5","10268.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Any Other Ethnic Group","ONS 2011 18+1","England","79.1","%","11244.4","8894.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Any Other Ethnic Group","ONS 2011 18+1","England","82.5","%","19561.3","16138.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Any Other Ethnic Group","ONS 2011 18+1","England","83.3","%","16211.3","13505.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Any Other Ethnic Group","ONS 2011 18+1","England","83.3","%","22113.7","18422.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Any Other Ethnic Group","ONS 2011 18+1","England","84","%","24761.4","20790","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Any Other Ethnic Group","ONS 2011 18+1","England","84.9","%","24774.1","21024.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Any Other Ethnic Group","ONS 2011 18+1","England","85.1","%","23551.2","20051.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2020/21","January 2021 to March 2021","Unknown","ONS 2011 18+1","England","79.2","%","7873.2","6238.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2019/20","January 2020 to March 2020","Unknown","ONS 2011 18+1","England","79.5","%","14909.8","11860.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2018/19","January 2019 to March 2019","Unknown","ONS 2011 18+1","England","79.6","%","9724.3","7745.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2017/18b2","January 2018 to March 2018","Unknown","ONS 2011 18+1","England","80.5","%","9673.9","7787.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2016/17","January 2017 to March 2017","Unknown","ONS 2011 18+1","England","83.6","%","13253.1","11073.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2015/16","July 2015 to March 2016","Unknown","ONS 2011 18+1","England","82.2","%","16728.5","13747","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2014/15","July 2014 to March 2015","Unknown","ONS 2011 18+1","England","81.7","%","12787.3","10447.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2013/14","July 2013 to March 2014","Unknown","ONS 2011 18+1","England","82.6","%","13722.2","11330.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2012/13","July 2012 to March 2013","Unknown","ONS 2011 18+1","England","83","%","13122","10887.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care - GP services","2011/12","July 2011 to March 2012","Unknown","ONS 2011 18+1","England","86.1","%","17397.6","14982","NA","NA","No figures to report for upper and lower bounds"
