"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","10,147","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","637","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","250","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","2,499","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","825","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2016-2017 to 2019-2020","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","169","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","78,539","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","67,231","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","63,585","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","3,646","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","878","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","5,333","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","2,202","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","416","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","13,863","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","10,247","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","9,674","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","573","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","46","189","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2015-2016 to 2018-2019","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","2,355","","","",""
