"Measure","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Geography_type","Gender","Gender_type","Age Bracket","Age Bracket Type","Value","Denominator","Numerator","Upper bound","Lower bound","Note"
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","6,144","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","2,495","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","22","484","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","21,054","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","14,742","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","13,825","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","917","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","396","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","3,758","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","28","1,433","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2013-2014 to 2016-2017","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","31","240","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","107,242","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","89,672","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","84,506","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","5,166","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,246","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","7,779","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","3,509","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","633","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","19,629","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","13,879","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","13,057","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","822","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","39","294","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","3,573","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","1,134","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","222","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","102,449","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","86,717","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","81,840","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","4,877","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","1,087","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","12","6,908","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","15","2,938","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","522","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","24,422","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","16,834","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","15,723","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","1,111","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","453","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","4,444","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","27","1,705","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2012-2013 to 2015-2016","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","333","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","120,259","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","99,791","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","93,926","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","5,865","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,378","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","9,002","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","4,078","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","725","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","22,334","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","15,648","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","14,706","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","40","942","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","329","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","4,116","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","35","1,370","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","42","281","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","114,744","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","96,413","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","90,889","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","5,524","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","8","1,195","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","7,931","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","3,458","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","19","590","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","27,849","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","19,026","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","17,743","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","1,283","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","512","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","29","5,187","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","1,990","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2011-2012 to 2014-2015","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","33","416","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","134,463","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","110,584","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","104,090","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","5","6,494","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","1,528","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","10,259","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","10","4,706","","","",""
"Percentage entering into low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","11","839","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","26,242","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","38","18,130","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","16,971","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","43","1,159","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","402","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","36","4,819","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","1,767","","","",""
"Percentage exiting low income (based on 60% of median income, Before Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","39","338","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","127,948","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","7","106,682","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","6","100,589","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","6,093","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","9","1,333","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","8,951","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","14","3,970","","","",""
"Percentage entering into low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","13","659","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","All Individuals","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","32,757","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","22,032","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","34","20,472","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","White Other","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","37","1,560","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Mixed/ multiple ethnic groups","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","25","597","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Asian/ Asian British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","32","6,127","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Black/ African/ Caribbean/ Black British","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","26","2,503","","","",""
"Percentage exiting low income (based on 60% of median income, After Housing Costs)","2010-2011 to 2013-2014","Average over three two-wave periods","Other ethnic group","ONS 5+2","K02000001","United Kingdom","All","All","All","All/Children/Working-age adults/pensioners","30","518","","","",""
