"Ethnicity","%","Number of respondents"
"All","9","24,747"
"Asian","18","1,901"
"Black","13","701"
"Mixed","6","271"
"White","9","21,122"
"White British","9","19,963"
"White other","8","1,159"
"Other","11","142"
