"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","3","5","8","6","3","5"
"Level 4 And Above","2","4","7","4","2","6"
"Level 3","4","6","11","?","3","?"
"Level 2","3","5","9","?","3","?"
"Below Level 2","4","5","?","?","4","?"
"Other Qualifications","4","9","7","?","3","6"
"No Qualifications","3","4","?","?","3","?"
