"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","3","5","7","7","3","5"
"Level 4 And Above","3","4","6","3","2","5"
"Level 3","3","6","8","14","3","7"
"Level 2","4","6","6","4","4","2"
"Below Level 2","5","8","10","16","5","?"
"Other Qualifications","4","6","6","?","4","7"
"No Qualifications","5","7","8","?","5","2"
