"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","4","5","6","7","3","5"
"Level 4 And Above","3","4","5","2","3","3"
"Level 3","3","6","?","?","3","?"
"Level 2","4","8","?","?","4","?"
"Below Level 2","6","10","?","?","5","?"
"Other Qualifications","4","4","?","?","4","8"
"No Qualifications","6","10","?","?","6","?"
