"Measure ","Time","Time_type","Ethnicity","Ethnicity_type","Number","Percentage"
"Used the internet in the last 3 months","2016","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,253","90.5"
"Used the internet in the last 3 months","2016","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","711","94.2"
"Used the internet in the last 3 months","2017","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","40,885","88.4"
"Used the internet in the last 3 months","2017","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","591","96.2"
"Used the internet in the last 3 months","2017","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,094","90.6"
"Used the internet in the last 3 months","2017","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","759","90.3"
"Used the internet in the last 3 months","2017","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","316","87"
"Used the internet in the last 3 months","2017","Year"," Chinese ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","275","98.3"
"Used the internet in the last 3 months","2017","Year"," Other Asian background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","562","93.1"
"Used the internet in the last 3 months","2017","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,394","92.1"
"Used the internet in the last 3 months","2017","Year"," Other ethnic group ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","838","94.1"
"Used the internet in the last 3 months","2018","Year"," White ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","41,825","89.3"
"Used the internet in the last 3 months","2018","Year"," Mixed/multiple ethnic background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","510","97.9"
"Used the internet in the last 3 months","2018","Year"," Indian ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,087","92.7"
"Used the internet in the last 3 months","2018","Year"," Pakistani ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","779","92.8"
"Used the internet in the last 3 months","2018","Year"," Bangladeshi ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","320","90.7"
"Used the internet in the last 3 months","2018","Year"," Chinese ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","303","97.6"
"Used the internet in the last 3 months","2018","Year"," Other Asian background ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","576","96.4"
"Used the internet in the last 3 months","2018","Year"," Black/African/Caribbean/Black British ","White, Mixed, Indian, Pakistani, Bangladeshi, Chinese, Other Asian, Black, Other","1,352","91.2"
