"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography_type","Age Bracket","Percentage","Percentage: Lower bound","Percentage: Upper bound","Estimated number of people (thousands)","Estimated number of people (thousands): lower bound","Estimated number of people (thousands): upper bound","Note"
"Used the internet in the last 3 months","2017","Year","All","All","East of England","Region","16+","90.3","89.5","91.2","4,427","4,385","4,469",""
"Used the internet in the last 3 months","2017","Year","All","All","London","Region","16+","92.7","92","93.4","6,497","6,447","6,548",""
"Used the internet in the last 3 months","2017","Year","All","All","South East","Region","16+","91.6","90.9","92.3","6,593","6,544","6,641",""
"Used the internet in the last 3 months","2017","Year","All","All","South West","Region","16+","89.2","88.3","90.2","3,986","3,945","4,027",""
"Used the internet in the last 3 months","2017","Year","All","All","Wales","Region","16+","86.9","85.5","88.2","2,188","2,154","2,222",""
"Used the internet in the last 3 months","2017","Year","All","All","Scotland","Region","16+","87.5","86.4","88.5","3,845","3,799","3,891",""
"Used the internet in the last 3 months","2017","Year","All","All","Northern Ireland","Region","16+","84","82.4","85.6","1,223","1,200","1,246",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","UK","UK","16+","88.4","88.1","88.7","40,885","40,745","41,025",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","North East","Region","16+","84.7","83","86.3","1,752","1,719","1,786",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","North West","Region","16+","87.8","86.9","88.7","4,589","4,541","4,637",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+","86.4","85.3","87.5","3,395","3,352","3,437",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","East Midlands","Region","16+","87.5","86.4","88.7","3,003","2,964","3,042",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","West Midlands","Region","16+","86.1","84.9","87.2","3,298","3,254","3,342",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","East of England","Region","16+","89.8","88.9","90.7","4,037","3,996","4,078",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","London","Region","16+","92.7","91.8","93.6","3,969","3,929","4,009",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South East","Region","16+","91.2","90.5","91.9","6,056","6,008","6,104",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","South West","Region","16+","89.2","88.2","90.1","3,817","3,777","3,858",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Wales","Region","16+","86.7","85.3","88","2,100","2,066","2,133",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Scotland","Region","16+","87.2","86.1","88.3","3,668","3,622","3,713",""
"Used the internet in the last 3 months","2017","Year","White","White,Asian,Black and Other","Northern Ireland","Region","16+","83.8","82.2","85.4","1,201","1,178","1,223",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","UK","UK","16+","94.9","93.7","96.2","1,429","1,410","1,448",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","North West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Yorkshire and the Humber","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East Midlands","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","West Midlands","Region","16+","91.5","86.4","96.6","128","121","135",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","East of England","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","London","Region","16+","94.1","91.9","96.3","598","584","612",""
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South East","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","South West","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Wales","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Scotland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Other inc. Mixed","White,Asian,Black and Other","Northern Ireland","Region","16+"," ?"," ? "," ? "," ?"," ? "," ? "," Suppressed "
"Used the internet in the last 3 months","2017","Year","Asian","White,Asian,Black and Other","UK","Region","16+","91.2","90.2","92.3","3,006","2,972","3,040",""
