"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","23","32","24","23","22","29"
"Below Level 2","35","50","?","?","33","?"
"Level 2","29","51","32","?","28","?"
"Level 3","19","25","20","?","18","?"
"Level 4 And Above","14","18","16","10","13","20"
"No Qualifications","61","70","?","?","59","?"
"Other Qualifications","31","41","31","?","28","39"
