"","All","Asian","Black","Mixed","White","Other"
"Highest Qualification Held","","","","","",""
"All","15","11","17","20","15","13"
"Level 4 And Above","8","5","6","7","8","9"
"Level 3","12","12","?","?","12","?"
"Level 2","18","23","?","?","18","?"
"Below Level 2","20","10","?","?","20","?"
"Other Qualifications","15","10","?","?","16","16"
"No Qualifications","43","30","?","?","44","?"
