"Ethnicity","Local Authority","Number","%"
"White","Wandsworth","227","1.63"
"White","Warrington","950","3.24"
"White","Warwickshire","2,499","3.55"
"White","West Berkshire","858","3.78"
"White","West Sussex","4,252","4.35"
"White","Westminster","219","3.58"
"White","Wigan","1,957","4.50"
"White","Wiltshire","2,955","4.78"
"White","Windsor and Maidenhead","533","3.39"
"White","Wirral","2,208","4.78"
"White","Wokingham","612","3.16"
"White","Wolverhampton","1,138","4.97"
"White","Worcestershire","2,529","3.52"
"White","York","878","3.77"
"Other","Barking and Dagenham","12","1.64"
"Other","Barnet","153","2.56"
"Other","Barnsley","1","0.80"
"Other","Bath and North East Somerset","1","0.74"
"Other","Bedford","9","2.47"
"Other","Bexley","10","1.71"
"Other","Birmingham","301","2.98"
"Other","Blackburn with Darwen","3","1.03"
"Other","Blackpool","0","0.00"
"Other","Bolton","47","5.05"
"Other","Bournemouth","21","6.62"
"Other","Bracknell Forest","1","0.89"
"Other","Bradford","31","2.24"
"Other","Brent","194","3.71"
"Other","Brighton and Hove","34","4.30"
"Other","Bristol City of","32","5.61"
"Other","Bromley","12","1.81"
"Other","Buckinghamshire","11","2.05"
"Other","Bury","17","4.72"
"Other","Calderdale","4","2.34"
"Other","Cambridgeshire","7","0.97"
"Other","Camden","83","5.62"
"Other","Central Bedfordshire","7","2.82"
"Other","Cheshire East","5","2.03"
"Other","Cheshire West and Chester","2","1.13"
"Other","City of London","0","0.00"
"Other","Cornwall","4","1.79"
"Other","Coventry","22","2.31"
"Other","Croydon","26","2.13"
"Other","Cumbria","4","1.87"
"Other","Darlington","8","8.08"
"Other","Derby","14","1.83"
"Other","Derbyshire","11","4.31"
"Other","Devon","19","2.53"
"Other","Doncaster","24","5.31"
"Other","Dorset","20","13.89"
"Other","Dudley","45","5.13"
"Other","Durham","3","0.93"
"Other","Ealing","181","2.30"
"Other","East Riding of Yorkshire","26","12.26"
"Other","East Sussex","7","2.13"
"Other","Enfield","190","5.77"
"Other","Essex","24","1.49"
"Other","Gateshead","17","3.23"
"Other","Gloucestershire","12","3.82"
"Other","Greenwich","17","1.50"
"Other","Hackney","87","4.29"
"Other","Halton","0","0.00"
"Other","Hammersmith and Fulham","100","4.43"
"Other","Hampshire","24","2.74"
"Other","Haringey","108","4.36"
"Other","Harrow","90","5.12"
"Other","Hartlepool","2","2.99"
"Other","Havering","11","2.88"
"Other","Herefordshire","3","2.50"
"Other","Hertfordshire","68","3.71"
"Other","Hillingdon","85","2.14"
"Other","Hounslow","124","2.67"
"Other","Isle of Wight","0","0.00"
"Other","Isles Of Scilly","0","0.00"
"Other","Islington","63","3.74"
"Other","Kensington and Chelsea","145","6.72"
"Other","Kent","48","2.39"
"Other","Kingston upon Hull City of","17","1.53"
"Other","Kingston upon Thames","15","0.98"
"Other","Kirklees","35","5.18"
"Other","Knowsley","9","8.57"
"Other","Lambeth","53","2.76"
"Other","Lancashire","6","0.77"
"Other","Leeds","26","1.17"
"Other","Leicester","25","1.91"
"Other","Leicestershire","8","2.12"
"Other","Lewisham","17","1.32"
"Other","Lincolnshire","10","2.15"
"Other","Liverpool","77","2.70"
"Other","Luton","25","3.99"
"Other","Manchester","218","3.57"
"Other","Medway","5","1.12"
"Other","Merton","22","2.41"
"Other","Middlesbrough","25","3.17"
"Other","Milton Keynes","25","6.00"
"Other","Newcastle upon Tyne","16","1.43"
"Other","Newham","94","2.74"
"Other","Norfolk","11","1.28"
"Other","North East Lincolnshire","4","2.11"
"Other","North Lincolnshire","32","18.93"
"Other","North Somerset","7","10.94"
"Other","North Tyneside","0","0.00"
"Other","North Yorkshire","8","2.43"
"Other","Northamptonshire","32","4.15"
"Other","Northumberland","1","1.04"
"Other","Nottingham","89","6.82"
"Other","Nottinghamshire","12","1.76"
"Other","Oldham","11","2.47"
"Other","Oxfordshire","26","2.11"
"Other","Peterborough","17","4.20"
"Other","Plymouth","12","2.19"
"Other","Poole","1","1.06"
"Other","Portsmouth","4","0.80"
"Other","Reading","8","2.09"
"Other","Redbridge","33","3.81"
"Other","Redcar and Cleveland","12","17.65"
"Other","Richmond upon Thames","23","3.89"
"Other","Rochdale","5","1.23"
"Other","Rotherham","9","2.80"
"Other","Rutland","1","3.57"
"Other","Salford","19","1.65"
"Other","Sandwell","32","2.19"
"Other","Sefton","0","0.00"
"Other","Sheffield","147","5.42"
"Other","Shropshire","0","0.00"
"Other","Slough","23","1.95"
"Other","Solihull","11","3.74"
"Other","Somerset","13","5.39"
"Other","South Gloucestershire","3","1.31"
"Other","South Tyneside","1","0.68"
"Other","Southampton","2","0.41"
"Other","Southend-on-Sea","13","6.37"
"Other","Southwark","57","1.84"
"Other","St. Helens","0","0.00"
"Other","Staffordshire","15","2.73"
"Other","Stockport","10","2.58"
"Other","Stockton-on-Tees","9","6.52"
"Other","Stoke-on-Trent","12","1.62"
"Other","Suffolk","24","2.83"
"Other","Sunderland","0","0.00"
"Other","Surrey","37","2.49"
"Other","Sutton","17","2.24"
"Other","Swindon","9","2.80"
"Other","Tameside","18","6.47"
"Other","Telford and Wrekin","1","1.19"
"Other","Thurrock","2","0.65"
"Other","Torbay","2","1.96"
"Other","Tower Hamlets","11","0.90"
"Other","Trafford","13","1.53"
"Other","Wakefield","3","0.93"
"Other","Walsall","15","2.34"
"Other","Waltham Forest","46","2.94"
"Other","Wandsworth","29","2.10"
"Other","Warrington","5","1.93"
"Other","Warwickshire","7","1.42"
"Other","West Berkshire","9","5.33"
"Other","West Sussex","11","1.79"
"Other","Westminster","426","7.52"
"Other","Wigan","8","1.94"
"Other","Wiltshire","16","3.03"
"Other","Windsor and Maidenhead","3","0.98"
"Other","Wirral","5","2.92"
"Other","Wokingham","2","0.81"
"Other","Wolverhampton","21","3.48"
"Other","Worcestershire","14","4.49"
"Other","York","3","1.69"
