"Ethnicity","Local Authority","Number","%"
"Asian","Wolverhampton","146","1.41"
"Asian","Worcestershire","63","2.09"
"Asian","York","2","0.39"
"Black","Barking and Dagenham","203","1.70"
"Black","Barnet","350","5.26"
"Black","Barnsley","25","10.82"
"Black","Bath and North East Somerset","46","20.18"
"Black","Bedford","79","4.93"
"Black","Bexley","248","3.12"
"Black","Birmingham","1,689","6.82"
"Black","Blackburn with Darwen","7","2.25"
"Black","Blackpool","4","5.41"
"Black","Bolton","108","3.72"
"Black","Bournemouth","8","3.67"
"Black","Bracknell Forest","17","3.31"
"Black","Bradford","87","5.47"
"Black","Brent","733","7.02"
"Black","Brighton and Hove","32","4.64"
"Black","Bristol City of","569","9.13"
"Black","Bromley","241","4.76"
"Black","Buckinghamshire","120","5.41"
"Black","Bury","34","4.82"
"Black","Calderdale","5","1.61"
"Black","Cambridgeshire","73","7.27"
"Black","Camden","359","8.18"
"Black","Central Bedfordshire","39","3.69"
"Black","Cheshire East","14","6.28"
"Black","Cheshire West and Chester","2","0.99"
"Black","City of London","0","0.00"
"Black","Cornwall","1","1.69"
"Black","Coventry","323","5.05"
"Black","Croydon","973","6.05"
"Black","Cumbria","7","6.31"
"Black","Darlington","1","1.14"
"Black","Derby","86","5.34"
"Black","Derbyshire","12","3.25"
"Black","Devon","12","6.98"
"Black","Doncaster","70","12.61"
"Black","Dorset","7","5.26"
"Black","Dudley","100","7.84"
"Black","Durham","4","2.27"
"Black","Ealing","446","5.34"
"Black","East Riding of Yorkshire","4","6.35"
"Black","East Sussex","25","5.33"
"Black","Enfield","1,179","8.59"
"Black","Essex","239","3.64"
"Black","Gateshead","21","5.05"
"Black","Gloucestershire","74","5.99"
"Black","Greenwich","651","4.74"
"Black","Hackney","1,102","9.18"
"Black","Halton","0","0.00"
"Black","Hammersmith and Fulham","344","7.30"
"Black","Hampshire","73","3.56"
"Black","Haringey","670","7.33"
"Black","Harrow","264","7.04"
"Black","Hartlepool","4","5.19"
"Black","Havering","169","3.71"
"Black","Herefordshire","2","5.13"
"Black","Hertfordshire","389","4.78"
"Black","Hillingdon","237","4.33"
"Black","Hounslow","272","5.29"
"Black","Isle of Wight","0","0.00"
"Black","Isles Of Scilly","0","0.00"
"Black","Islington","627","10.67"
"Black","Kensington and Chelsea","237","10.22"
"Black","Kent","262","4.16"
"Black","Kingston upon Hull City of","19","2.56"
"Black","Kingston upon Thames","43","5.33"
"Black","Kirklees","87","6.55"
"Black","Knowsley","2","1.34"
"Black","Lambeth","951","6.19"
"Black","Lancashire","23","3.36"
"Black","Leeds","189","2.19"
"Black","Leicester","239","4.21"
"Black","Leicestershire","22","1.95"
"Black","Lewisham","834","5.65"
"Black","Lincolnshire","25","5.24"
"Black","Liverpool","76","2.37"
"Black","Luton","241","5.97"
"Black","Manchester","757","5.18"
"Black","Medway","127","4.52"
"Black","Merton","183","4.54"
"Black","Middlesbrough","10","2.32"
"Black","Milton Keynes","263","4.05"
"Black","Newcastle upon Tyne","48","2.64"
"Black","Newham","759","5.77"
"Black","Norfolk","52","4.81"
"Black","North East Lincolnshire","4","6.90"
"Black","North Lincolnshire","27","21.60"
"Black","North Somerset","6","2.99"
"Black","North Tyneside","0","0.00"
"Black","North Yorkshire","14","3.92"
"Black","Northamptonshire","172","2.95"
"Black","Northumberland","0","0.00"
"Black","Nottingham","287","5.56"
"Black","Nottinghamshire","56","3.94"
"Black","Oldham","29","1.93"
"Black","Oxfordshire","135","5.63"
"Black","Peterborough","45","3.45"
"Black","Plymouth","8","2.33"
"Black","Poole","0","0.00"
"Black","Portsmouth","15","1.76"
"Black","Reading","86","4.40"
"Black","Redbridge","389","6.29"
"Black","Redcar and Cleveland","0","0.00"
"Black","Richmond upon Thames","52","6.37"
"Black","Rochdale","30","2.17"
"Black","Rotherham","24","3.64"
"Black","Rutland","1","1.56"
"Black","Salford","32","1.59"
"Black","Sandwell","307","5.58"
"Black","Sefton","1","0.65"
"Black","Sheffield","207","4.40"
"Black","Shropshire","8","7.48"
"Black","Slough","104","4.23"
"Black","Solihull","121","13.73"
"Black","Somerset","9","3.78"
"Black","South Gloucestershire","55","7.83"
"Black","South Tyneside","5","4.03"
"Black","Southampton","27","2.68"
"Black","Southend-on-Sea","66","4.10"
"Black","Southwark","1,031","5.84"
"Black","St. Helens","1","0.82"
"Black","Staffordshire","55","6.66"
"Black","Stockport","40","7.98"
"Black","Stockton-on-Tees","28","7.41"
"Black","Stoke-on-Trent","40","2.94"
"Black","Suffolk","37","4.13"
"Black","Sunderland","9","3.17"
"Black","Surrey","118","4.31"
"Black","Sutton","165","5.34"
"Black","Swindon","28","2.84"
"Black","Tameside","65","7.98"
"Black","Telford and Wrekin","62","6.67"
"Black","Thurrock","85","2.14"
"Black","Torbay","0","0.00"
"Black","Tower Hamlets","249","5.46"
"Black","Trafford","77","5.20"
"Black","Wakefield","35","5.04"
"Black","Walsall","115","4.75"
"Black","Waltham Forest","674","8.37"
"Black","Wandsworth","370","5.07"
"Black","Warrington","17","8.13"
"Black","Warwickshire","43","4.49"
"Black","West Berkshire","24","6.05"
"Black","West Sussex","82","4.88"
"Black","Westminster","424","9.91"
"Black","Wigan","13","2.23"
"Black","Wiltshire","29","3.09"
"Black","Windsor and Maidenhead","7","2.12"
"Black","Wirral","14","8.28"
"Black","Wokingham","36","4.51"
"Black","Wolverhampton","287","6.19"
"Black","Worcestershire","23","5.36"
"Black","York","4","3.77"
"Chinese","Barking and Dagenham","0","0.00"
"Chinese","Barnet","4","0.51"
"Chinese","Barnsley","0","0.00"
"Chinese","Bath and North East Somerset","0","0.00"
"Chinese","Bedford","0","0.00"
"Chinese","Bexley","6","1.04"
"Chinese","Birmingham","3","0.29"
