"Ethnicity","Local Authority","Number","%"
"Asian","Wolverhampton","6","0.06"
"Asian","Worcestershire","1","0.03"
"Asian","York","0","0.00"
"Black","Barking and Dagenham","3","0.03"
"Black","Barnet","5","0.08"
"Black","Barnsley","0","0.00"
"Black","Bath and North East Somerset","3","1.32"
"Black","Bedford","10","0.62"
"Black","Bexley","6","0.08"
"Black","Birmingham","46","0.19"
"Black","Blackburn with Darwen","0","0.00"
"Black","Blackpool","0","0.00"
"Black","Bolton","2","0.07"
"Black","Bournemouth","0","0.00"
"Black","Bracknell Forest","1","0.19"
"Black","Bradford","0","0.00"
"Black","Brent","15","0.14"
"Black","Brighton and Hove","0","0.00"
"Black","Bristol City of","4","0.06"
"Black","Bromley","7","0.14"
"Black","Buckinghamshire","3","0.14"
"Black","Bury","3","0.42"
"Black","Calderdale","1","0.32"
"Black","Cambridgeshire","1","0.10"
"Black","Camden","2","0.05"
"Black","Central Bedfordshire","3","0.28"
"Black","Cheshire East","1","0.45"
"Black","Cheshire West and Chester","1","0.49"
"Black","City of London","0","0.00"
"Black","Cornwall","1","1.69"
"Black","Coventry","8","0.13"
"Black","Croydon","18","0.11"
"Black","Cumbria","0","0.00"
"Black","Darlington","0","0.00"
"Black","Derby","4","0.25"
"Black","Derbyshire","1","0.27"
"Black","Devon","0","0.00"
"Black","Doncaster","1","0.18"
"Black","Dorset","0","0.00"
"Black","Dudley","6","0.47"
"Black","Durham","0","0.00"
"Black","Ealing","17","0.20"
"Black","East Riding of Yorkshire","0","0.00"
"Black","East Sussex","1","0.21"
"Black","Enfield","17","0.12"
"Black","Essex","6","0.09"
"Black","Gateshead","1","0.24"
"Black","Gloucestershire","4","0.32"
"Black","Greenwich","4","0.03"
"Black","Hackney","23","0.19"
"Black","Halton","0","0.00"
"Black","Hammersmith and Fulham","7","0.15"
"Black","Hampshire","0","0.00"
"Black","Haringey","13","0.14"
"Black","Harrow","15","0.40"
"Black","Hartlepool","0","0.00"
"Black","Havering","5","0.11"
"Black","Herefordshire","0","0.00"
"Black","Hertfordshire","10","0.12"
"Black","Hillingdon","8","0.15"
"Black","Hounslow","11","0.21"
"Black","Isle of Wight","0","0.00"
