"Ethnicity","Local Authority","Number","%"
"White","Wokingham","11","0.06"
"White","Wolverhampton","42","0.18"
"White","Worcestershire","72","0.10"
"White","York","5","0.02"
"Other","Barking and Dagenham","2","0.27"
"Other","Barnet","6","0.10"
"Other","Barnsley","0","0.00"
"Other","Bath and North East Somerset","0","0.00"
"Other","Bedford","0","0.00"
"Other","Bexley","1","0.17"
"Other","Birmingham","6","0.06"
"Other","Blackburn with Darwen","0","0.00"
"Other","Blackpool","0","0.00"
"Other","Bolton","0","0.00"
"Other","Bournemouth","0","0.00"
"Other","Bracknell Forest","0","0.00"
"Other","Bradford","0","0.00"
"Other","Brent","4","0.08"
"Other","Brighton and Hove","0","0.00"
"Other","Bristol City of","0","0.00"
"Other","Bromley","1","0.15"
"Other","Buckinghamshire","1","0.19"
"Other","Bury","1","0.28"
"Other","Calderdale","0","0.00"
"Other","Cambridgeshire","0","0.00"
"Other","Camden","2","0.14"
"Other","Central Bedfordshire","0","0.00"
"Other","Cheshire East","0","0.00"
"Other","Cheshire West and Chester","0","0.00"
"Other","City of London","0","0.00"
"Other","Cornwall","0","0.00"
"Other","Coventry","1","0.11"
"Other","Croydon","0","0.00"
"Other","Cumbria","0","0.00"
"Other","Darlington","0","0.00"
"Other","Derby","0","0.00"
"Other","Derbyshire","0","0.00"
"Other","Devon","1","0.13"
"Other","Doncaster","0","0.00"
"Other","Dorset","1","0.69"
"Other","Dudley","2","0.23"
"Other","Durham","0","0.00"
"Other","Ealing","8","0.10"
"Other","East Riding of Yorkshire","0","0.00"
"Other","East Sussex","0","0.00"
"Other","Enfield","4","0.12"
"Other","Essex","0","0.00"
"Other","Gateshead","0","0.00"
"Other","Gloucestershire","0","0.00"
"Other","Greenwich","0","0.00"
"Other","Hackney","5","0.25"
"Other","Halton","0","0.00"
"Other","Hammersmith and Fulham","2","0.09"
"Other","Hampshire","0","0.00"
"Other","Haringey","1","0.04"
"Other","Harrow","3","0.17"
"Other","Hartlepool","0","0.00"
"Other","Havering","0","0.00"
"Other","Herefordshire","0","0.00"
"Other","Hertfordshire","1","0.05"
"Other","Hillingdon","4","0.10"
"Other","Hounslow","4","0.09"
"Other","Isle of Wight","0","0.00"
"Other","Isles Of Scilly","0","0.00"
"Other","Islington","1","0.06"
"Other","Kensington and Chelsea","4","0.19"
"Other","Kent","0","0.00"
"Other","Kingston upon Hull City of","0","0.00"
"Other","Kingston upon Thames","0","0.00"
"Other","Kirklees","2","0.30"
"Other","Knowsley","0","0.00"
"Other","Lambeth","3","0.16"
"Other","Lancashire","1","0.13"
"Other","Leeds","0","0.00"
"Other","Leicester","0","0.00"
"Other","Leicestershire","0","0.00"
"Other","Lewisham","0","0.00"
"Other","Lincolnshire","0","0.00"
"Other","Liverpool","1","0.04"
"Other","Luton","0","0.00"
"Other","Manchester","1","0.02"
"Other","Medway","0","0.00"
"Other","Merton","0","0.00"
"Other","Middlesbrough","0","0.00"
"Other","Milton Keynes","0","0.00"
"Other","Newcastle upon Tyne","0","0.00"
"Other","Newham","2","0.06"
"Other","Norfolk","0","0.00"
"Other","North East Lincolnshire","0","0.00"
"Other","North Lincolnshire","1","0.59"
"Other","North Somerset","0","0.00"
"Other","North Tyneside","0","0.00"
"Other","North Yorkshire","0","0.00"
"Other","Northamptonshire","1","0.13"
"Other","Northumberland","0","0.00"
"Other","Nottingham","1","0.08"
"Other","Nottinghamshire","0","0.00"
"Other","Oldham","0","0.00"
"Other","Oxfordshire","0","0.00"
"Other","Peterborough","0","0.00"
"Other","Plymouth","0","0.00"
"Other","Poole","0","0.00"
"Other","Portsmouth","0","0.00"
"Other","Reading","0","0.00"
"Other","Redbridge","0","0.00"
"Other","Redcar and Cleveland","0","0.00"
"Other","Richmond upon Thames","0","0.00"
"Other","Rochdale","0","0.00"
"Other","Rotherham","0","0.00"
"Other","Rutland","0","0.00"
"Other","Salford","0","0.00"
"Other","Sandwell","1","0.07"
"Other","Sefton","0","0.00"
"Other","Sheffield","0","0.00"
"Other","Shropshire","0","0.00"
"Other","Slough","0","0.00"
"Other","Solihull","1","0.34"
"Other","Somerset","1","0.41"
"Other","South Gloucestershire","0","0.00"
"Other","South Tyneside","0","0.00"
"Other","Southampton","0","0.00"
"Other","Southend-on-Sea","0","0.00"
"Other","Southwark","3","0.10"
"Other","St. Helens","0","0.00"
"Other","Staffordshire","0","0.00"
"Other","Stockport","0","0.00"
"Other","Stockton-on-Tees","0","0.00"
"Other","Stoke-on-Trent","0","0.00"
"Other","Suffolk","0","0.00"
"Other","Sunderland","0","0.00"
"Other","Surrey","0","0.00"
"Other","Sutton","1","0.13"
"Other","Swindon","0","0.00"
"Other","Tameside","0","0.00"
"Other","Telford and Wrekin","0","0.00"
"Other","Thurrock","0","0.00"
"Other","Torbay","0","0.00"
"Other","Tower Hamlets","0","0.00"
"Other","Trafford","0","0.00"
"Other","Wakefield","0","0.00"
"Other","Walsall","0","0.00"
"Other","Waltham Forest","2","0.13"
"Other","Wandsworth","1","0.07"
"Other","Warrington","0","0.00"
"Other","Warwickshire","0","0.00"
"Other","West Berkshire","1","0.59"
"Other","West Sussex","0","0.00"
"Other","Westminster","4","0.07"
"Other","Wigan","0","0.00"
"Other","Wiltshire","0","0.00"
"Other","Windsor and Maidenhead","0","0.00"
"Other","Wirral","0","0.00"
"Other","Wokingham","0","0.00"
"Other","Wolverhampton","0","0.00"
"Other","Worcestershire","2","0.64"
"Other","York","0","0.00"
