"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Value_type","Denominator","Numerator","Lower C.I.","Upper C.I.","Note"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","White Irish","ONS 2011 18+1","England","84.3","%","2899.8","2445.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","White Irish","ONS 2011 18+1","England","85.1","%","3404","2898.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","White Irish","ONS 2011 18+1","England","86.6","%","3377.2","2924.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","White Irish","ONS 2011 18+1","England","87.2","%","3324.2","2898.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","White Irish","ONS 2011 18+1","England","86.8","%","1818.5","1577.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","White Irish","ONS 2011 18+1","England","85.2","%","1972.6","1680.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","White Irish","ONS 2011 18+1","England","83.7","%","2054.9","1720","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","White Irish","ONS 2011 18+1","England","83.6","%","2207.4","1845.2","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","White Irish","ONS 2011 18+1","England","82.8","%","2373.5","1964.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Any Other White Background","ONS 2011 18+1","England","64.3","%","22007","14154","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Any Other White Background","ONS 2011 18+1","England","72.3","%","19871.9","14365.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Any Other White Background","ONS 2011 18+1","England","73.9","%","20704","15297.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Any Other White Background","ONS 2011 18+1","England","74","%","20634.7","15273.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Any Other White Background","ONS 2011 18+1","England","75","%","22541.7","16895.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Any Other White Background","ONS 2011 18+1","England","74.6","%","11584.5","8639.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Any Other White Background","ONS 2011 18+1","England","74.4","%","11691.1","8696.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Any Other White Background","ONS 2011 18+1","England","74.8","%","11484.8","8594.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Any Other White Background","ONS 2011 18+1","England","73.9","%","12016.6","8874.8","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Any Other White Background","ONS 2011 18+1","England","73.6","%","11539.5","8498.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Arab","ONS 2011 18+1","England","67.1","%","2142.9","1437.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Arab","ONS 2011 18+1","England","75.6","%","1714","1295.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Arab","ONS 2011 18+1","England","73.9","%","1857.6","1373.1","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Arab","ONS 2011 18+1","England","73.1","%","1652.9","1207.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Arab","ONS 2011 18+1","England","68.1","%","1306.5","890","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Arab","ONS 2011 18+1","England","74.4","%","648.7","482.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Arab","ONS 2011 18+1","England","68.8","%","587.8","404.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Arab","ONS 2011 18+1","England","73.6","%","528.1","388.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Arab","ONS 2011 18+1","England","76.1","%","574.5","437","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Arab","ONS 2011 18+1","England","72","%","561.8","404.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Any Other Ethnic Group","ONS 2011 18+1","England","68.7","%","6807.7","4675.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Any Other Ethnic Group","ONS 2011 18+1","England","73.4","%","5885.5","4318.6","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Any Other Ethnic Group","ONS 2011 18+1","England","76.5","%","6610.8","5056","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Any Other Ethnic Group","ONS 2011 18+1","England","74.9","%","6072.9","4550","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Any Other Ethnic Group","ONS 2011 18+1","England","77.2","%","10398.9","8028.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Any Other Ethnic Group","ONS 2011 18+1","England","78.5","%","4511.6","3541.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Any Other Ethnic Group","ONS 2011 18+1","England","76.6","%","6417.1","4915.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Any Other Ethnic Group","ONS 2011 18+1","England","77","%","6946.6","5350.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Any Other Ethnic Group","ONS 2011 18+1","England","77.9","%","7197.8","5607","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Any Other Ethnic Group","ONS 2011 18+1","England","76.6","%","5881.4","4507","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2020/21","January 2021 to March 2021","Unknown","ONS 2011 18+1","England","74.7","%","3006.1","2246.5","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2019/20","January 2020 to March 2020","Unknown","ONS 2011 18+1","England","79.7","%","4937.5","3934.4","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2018/19","January 2019 to March 2019","Unknown","ONS 2011 18+1","England","78.6","%","3048","2396.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2017/18","January 2018 to March 2018","Unknown","ONS 2011 18+1","England","81.1","%","3497.3","2835.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2016/17","January 2017 to March 2017","Unknown","ONS 2011 18+1","England","80.7","%","4173.2","3369.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2015/16","July 2015 to March 2016","Unknown","ONS 2011 18+1","England","78.1","%","2597.6","2027.9","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2014/15","July 2014 to March 2015","Unknown","ONS 2011 18+1","England","78.5","%","2241.5","1759.7","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2013/14","July 2013 to March 2014","Unknown","ONS 2011 18+1","England","75.4","%","2021.3","1524.3","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2012/13","July 2012 to March 2013","Unknown","ONS 2011 18+1","England","78.1","%","2574.2","2010","NA","NA","No figures to report for upper and lower bounds"
"Patient experience of primary care -NHS dental services","2011/12","July 2011 to March 2012","Unknown","ONS 2011 18+1","England","77.5","%","3416.3","2647.2","NA","NA","No figures to report for upper and lower bounds"
